factor,assumed_K,config,who,code,cost,PCR,order_churn,fill,cover_days,orders_per_year,n_orders,unit_days,measured_days
2.0,2.0,WI Sliding Economic Lot Size,SAP only,20894,24.45285476306252,0.009526022304832713,0.9647058823529412,0.9995583984656221,49.353580924586225,2.856025039123631,5,12034.393200877657,639
2.0,2.0,DY Dynamic Planning Calculation,SAP only,20894,25.285279353267565,0.004182156133828996,0.8780487804878049,0.9993165478598584,56.53968794734104,1.7136150234741785,3,13786.655871089255,639
2.0,2.0,GR Groff Reorder Procedure,SAP only,20894,20.920356600469663,0.020910780669144983,0.7692307692307693,0.9995588973110625,7.409198164765313,10.28169014084507,18,1806.6612867312315,639
1.0,1.0,Per period 7d,Both,90182C,8.205999294882464,0.0023234200743494425,0.1941747572815534,1.0,7.89079178916712,4.569640062597809,8,129.6374872967226,639
1.0,1.0,Per period 14d,Both,90182C,7.224038415709907,0.0033689591078066915,0.3118279569892473,1.0,8.581779331576929,3.998435054773083,7,140.98969264502773,639
1.0,1.0,Per period 28d,Both,90182C,7.220976746046706,0.0025557620817843866,0.24175824175824176,1.0,8.464502241607667,3.998435054773083,7,139.06295225353003,639
1.0,1.0,Per period 56d,Both,90182C,4.939769868112541,0.0027881040892193307,0.6,1.0,74.30277932217938,1.7136150234741785,3,1220.7172445880647,639
1.0,1.0,SP Part Period Balancing,SAP only,90182C,5.204237188437341,0.0009293680297397769,0.6153846153846154,1.0,161.04307689577723,0.5712050078247262,1,2645.769954792465,639
1.0,1.0,WI Sliding Economic Lot Size,SAP only,90182C,5.070159580276794,0.0031366171003717473,0.7105263157894737,1.0,117.60229578117479,1.1424100156494523,2,1932.0831841397064,639
1.0,1.0,DY Dynamic Planning Calculation,SAP only,90182C,7.113495728684497,0.0013940520446096654,0.5454545454545454,1.0,195.87217583859663,1.1424100156494523,2,3217.9757602928303,639
1.0,1.0,GR Groff Reorder Procedure,SAP only,90182C,6.913632721023982,0.004646840148698885,0.4819277108433735,0.9893560705665885,34.99665169962763,3.427230046948357,6,574.9585227133681,639
0.5,0.5,Per period 7d,Both,90182C,8.205999294882464,0.0023234200743494425,0.1941747572815534,1.0,7.89079178916712,4.569640062597809,8,129.6374872967226,639
0.5,0.5,Per period 14d,Both,90182C,7.224038415709907,0.0033689591078066915,0.3118279569892473,1.0,8.581779331576929,3.998435054773083,7,140.98969264502773,639
0.5,0.5,Per period 28d,Both,90182C,7.220976746046706,0.0025557620817843866,0.24175824175824176,1.0,8.464502241607667,3.998435054773083,7,139.06295225353003,639
0.5,0.5,Per period 56d,Both,90182C,4.939769868112541,0.0027881040892193307,0.6,1.0,74.30277932217938,1.7136150234741785,3,1220.7172445880647,639
0.5,0.5,SP Part Period Balancing,SAP only,90182C,4.399648740287419,0.0015102230483271376,0.7647058823529411,1.0,130.2233601392584,0.5712050078247262,1,2139.4341210429448,639
0.5,0.5,WI Sliding Economic Lot Size,SAP only,90182C,4.524590852147652,0.0026719330855018587,0.7419354838709677,0.987860556117769,96.7043153157365,1.1424100156494523,2,1588.7511397136086,639
0.5,0.5,DY Dynamic Planning Calculation,SAP only,90182C,5.610905712480157,0.002091078066914498,0.6206896551724138,1.0,100.01060134736322,1.7136150234741785,3,1643.0699742332029,639
